time,h_plus,h_cross,amplitude
0.000000000000e+00,2.260443488403e-26,1.049833851308e-26,2.492339439084e-26
1.000000000000e-02,5.347942405249e-23,4.689278499432e-20,4.689281548993e-20
2.000000000000e-02,1.763416890741e-22,4.390879443495e-19,4.390879797598e-19
3.000000000000e-02,1.512617687914e-22,3.871247116996e-19,3.871247412510e-19
4.000000000000e-02,1.409532121610e-22,2.832431235297e-19,2.832431586017e-19
5.000000000000e-02,1.579235918509e-22,3.566369618419e-19,3.566369968072e-19
6.000000000000e-02,1.447962143251e-22,2.969009740131e-19,2.969010093211e-19
7.000000000000e-02,1.255137527418e-22,2.610945684150e-19,2.610945985836e-19
8.000000000000e-02,1.299551532341e-22,2.916524207710e-19,2.916524497239e-19
9.000000000000e-02,1.361926069920e-22,3.232724072440e-19,3.232724359325e-19
1.000000000000e-01,1.194017089352e-22,2.711997885415e-19,2.711998148261e-19
1.100000000000e-01,1.235238037767e-22,2.789153510436e-19,2.789153783962e-19
1.200000000000e-01,1.315746278746e-22,3.059113362813e-19,3.059113645769e-19
1.300000000000e-01,1.304653758459e-22,2.975816365485e-19,2.975816651477e-19
1.400000000000e-01,1.304653758459e-22,2.975816367036e-19,2.975816653028e-19
1.500000000000e-01,1.304653758459e-22,2.975816368587e-19,2.975816654579e-19
1.600000000000e-01,1.304653758459e-22,2.975816370138e-19,2.975816656130e-19
1.700000000000e-01,1.304653758459e-22,2.975816371688e-19,2.975816657681e-19
1.800000000000e-01,1.304653758459e-22,2.975816373239e-19,2.975816659232e-19
1.900000000000e-01,1.304653506023e-22,2.975816374790e-19,2.975816660782e-19
2.000000000000e-01,1.304653506023e-22,2.975816376341e-19,2.975816662333e-19
2.100000000000e-01,1.304653506023e-22,2.975816377892e-19,2.975816663884e-19
2.200000000000e-01,1.304653506023e-22,2.975816379443e-19,2.975816665435e-19
2.300000000000e-01,1.304653506023e-22,2.975816380994e-19,2.975816666986e-19
2.400000000000e-01,1.304653758459e-22,2.975816382544e-19,2.975816668537e-19
2.500000000000e-01,1.304653758459e-22,2.975816384095e-19,2.975816670088e-19
2.600000000000e-01,1.304653758459e-22,2.975816385646e-19,2.975816671639e-19
2.700000000000e-01,1.304653758459e-22,2.975816387197e-19,2.975816673189e-19
2.800000000000e-01,1.304653758459e-22,2.975816388748e-19,2.975816674740e-19
2.900000000000e-01,1.304653758459e-22,2.975816390299e-19,2.975816676291e-19
3.000000000000e-01,1.304653758459e-22,2.975816391850e-19,2.975816677842e-19
3.100000000000e-01,1.304653758459e-22,2.975816393401e-19,2.975816679393e-19
3.200000000000e-01,1.304653758459e-22,2.975816394951e-19,2.975816680944e-19
3.300000000000e-01,1.304653758459e-22,2.975816396502e-19,2.975816682495e-19
3.400000000000e-01,1.304653758459e-22,2.975816398053e-19,2.975816684046e-19
3.500000000000e-01,1.304653506023e-22,2.975816399604e-19,2.975816685596e-19
3.600000000000e-01,1.304653758459e-22,2.975816401155e-19,2.975816687147e-19
3.700000000000e-01,1.304653758459e-22,2.975816402706e-19,2.975816688698e-19
3.800000000000e-01,1.304653758459e-22,2.975816404257e-19,2.975816690249e-19
3.900000000000e-01,1.304653758459e-22,2.975816405808e-19,2.975816691800e-19
4.000000000000e-01,1.304653758459e-22,2.975816407358e-19,2.975816693351e-19
4.100000000000e-01,1.304653758459e-22,2.975816408909e-19,2.975816694902e-19
4.200000000000e-01,1.304653758459e-22,2.975816410460e-19,2.975816696453e-19
4.300000000000e-01,1.304653758459e-22,2.975816412011e-19,2.975816698003e-19
4.400000000000e-01,1.304653758459e-22,2.975816413562e-19,2.975816699554e-19
4.500000000000e-01,1.304653758459e-22,2.975816415113e-19,2.975816701105e-19
4.600000000000e-01,1.304653758459e-22,2.975816416664e-19,2.975816702656e-19
4.700000000000e-01,1.304653758459e-22,2.975816418215e-19,2.975816704207e-19
4.800000000000e-01,1.304654010894e-22,2.975816419765e-19,2.975816705758e-19
4.900000000000e-01,1.304654010894e-22,2.975816421316e-19,2.975816707309e-19
5.000000000000e-01,1.304654010894e-22,2.975816422867e-19,2.975816708860e-19
5.100000000000e-01,1.304654010894e-22,2.975816424418e-19,2.975816710410e-19
5.200000000000e-01,1.304653758459e-22,2.975816425969e-19,2.975816711961e-19
5.300000000000e-01,1.304653758459e-22,2.975816427520e-19,2.975816713512e-19
5.400000000000e-01,1.304653758459e-22,2.975816429071e-19,2.975816715063e-19
5.500000000000e-01,1.304653758459e-22,2.975816430622e-19,2.975816716614e-19
5.600000000000e-01,1.304653758459e-22,2.975816432172e-19,2.975816718165e-19
5.700000000000e-01,1.304653758459e-22,2.975816433723e-19,2.975816719716e-19
5.800000000000e-01,1.304653758459e-22,2.975816435274e-19,2.975816721266e-19
5.900000000000e-01,1.304653758459e-22,2.975816436825e-19,2.975816722817e-19
6.000000000000e-01,1.304653758459e-22,2.975816438376e-19,2.975816724368e-19
6.100000000000e-01,1.304654010894e-22,2.975816439927e-19,2.975816725919e-19
6.200000000000e-01,1.304654010894e-22,2.975816441478e-19,2.975816727470e-19
6.300000000000e-01,1.304654010894e-22,2.975816443028e-19,2.975816729021e-19
6.400000000000e-01,1.304654010894e-22,2.975816444579e-19,2.975816730572e-19
6.500000000000e-01,1.304654010894e-22,2.975816446130e-19,2.975816732123e-19
6.600000000000e-01,1.304654010894e-22,2.975816447681e-19,2.975816733674e-19
6.700000000000e-01,1.304654010894e-22,2.975816449232e-19,2.975816735224e-19
6.800000000000e-01,1.304653758459e-22,2.975816450783e-19,2.975816736775e-19
6.900000000000e-01,1.304653758459e-22,2.975816452334e-19,2.975816738326e-19
7.000000000000e-01,1.304653758459e-22,2.975816453885e-19,2.975816739877e-19
7.100000000000e-01,1.304653758459e-22,2.975816455435e-19,2.975816741428e-19
7.200000000000e-01,1.304653758459e-22,2.975816456986e-19,2.975816742979e-19
7.300000000000e-01,1.304654010894e-22,2.975816458537e-19,2.975816744530e-19
7.400000000000e-01,1.304654010894e-22,2.975816460088e-19,2.975816746081e-19
7.500000000000e-01,1.304654010894e-22,2.975816461639e-19,2.975816747631e-19
7.600000000000e-01,1.304654010894e-22,2.975816463190e-19,2.975816749182e-19
7.700000000000e-01,1.304654010894e-22,2.975816464741e-19,2.975816750733e-19
7.800000000000e-01,1.304654010894e-22,2.975816466292e-19,2.975816752284e-19
7.900000000000e-01,1.304654010894e-22,2.975816467842e-19,2.975816753835e-19
8.000000000000e-01,1.304654010894e-22,2.975816469393e-19,2.975816755386e-19
8.100000000000e-01,1.304654010894e-22,2.975816470944e-19,2.975816756937e-19
8.200000000000e-01,1.304654010894e-22,2.975816472495e-19,2.975816758487e-19
8.300000000000e-01,1.304654010894e-22,2.975816474046e-19,2.975816760038e-19
8.400000000000e-01,1.304653758459e-22,2.975816475597e-19,2.975816761589e-19
