echo_number,time,dt_from_previous,amplitude,frequency,prime_gap,prime_index
1,2.000000000000e-03,1.000000000000e-03,1.357256127054e-01,2.540000000000e+02,1,0
2,4.000000000000e-03,2.000000000000e-03,1.228096129617e-01,2.640000000000e+02,2,1
3,6.000000000000e-03,2.000000000000e-03,1.111227331023e-01,2.740000000000e+02,2,2
4,1.000000000000e-02,4.000000000000e-03,1.005480069053e-01,2.840000000000e+02,4,3
5,1.200000000000e-02,2.000000000000e-03,9.097959895690e-02,2.940000000000e+02,2,4
6,1.600000000000e-02,4.000000000000e-03,8.232174541410e-02,3.040000000000e+02,4,5
7,1.800000000000e-02,2.000000000000e-03,7.448779556871e-02,3.140000000000e+02,2,6
8,2.200000000000e-02,4.000000000000e-03,6.739934461758e-02,3.240000000000e+02,4,7
9,2.800000000000e-02,6.000000000000e-03,6.098544896109e-02,3.340000000000e+02,6,8
10,3.000000000000e-02,2.000000000000e-03,5.518191617572e-02,3.440000000000e+02,2,9
11,3.600000000000e-02,6.000000000000e-03,4.993066255471e-02,3.540000000000e+02,6,10
12,4.000000000000e-02,4.000000000000e-03,4.517913178683e-02,3.640000000000e+02,4,11
13,4.200000000000e-02,2.000000000000e-03,4.087976895510e-02,3.740000000000e+02,2,12
14,4.600000000000e-02,4.000000000000e-03,3.698954459124e-02,3.840000000000e+02,4,13
15,5.200000000000e-02,6.000000000000e-03,3.346952402226e-02,3.940000000000e+02,6,14
16,5.800000000000e-02,6.000000000000e-03,3.028447769920e-02,4.040000000000e+02,6,15
17,6.000000000000e-02,2.000000000000e-03,2.740252860791e-02,4.140000000000e+02,2,16
18,6.600000000000e-02,6.000000000000e-03,2.479483323324e-02,4.240000000000e+02,6,17
19,7.000000000000e-02,4.000000000000e-03,2.243529288340e-02,4.340000000000e+02,4,18
20,7.200000000000e-02,2.000000000000e-03,2.030029248549e-02,4.440000000000e+02,2,19
21,7.800000000000e-02,6.000000000000e-03,1.836846423795e-02,4.540000000000e+02,6,20
22,8.200000000000e-02,4.000000000000e-03,1.662047375435e-02,4.640000000000e+02,4,21
23,8.800000000000e-02,6.000000000000e-03,1.503882655842e-02,4.740000000000e+02,6,22
24,9.600000000000e-02,8.000000000000e-03,1.360769299341e-02,4.840000000000e+02,8,23
25,1.000000000000e-01,4.000000000000e-03,1.231274979358e-02,4.940000000000e+02,4,24
26,1.020000000000e-01,2.000000000000e-03,1.114103673215e-02,5.040000000000e+02,2,25
27,1.060000000000e-01,4.000000000000e-03,1.008082691096e-02,5.140000000000e+02,4,26
28,1.080000000000e-01,2.000000000000e-03,9.121509393783e-03,5.240000000000e+02,2,27
29,1.120000000000e-01,4.000000000000e-03,8.253483008461e-03,5.340000000000e+02,4,28
30,1.260000000000e-01,1.400000000000e-02,7.468060255180e-03,5.440000000000e+02,14,29
